모집 여부,제목,신청기간,담당기관,진행일정,문의 전화,문의 이메일,지원대상,상세정보,URL
모집중,2025년 부산콘텐츠비즈타운(기업지원센터) 2차 입주기업 모집 공고,2025-7-21~2025-8-4,부산정보산업진흥원,2025-7-21~2025-8-4,061-791-2000,photo75@busanit.or.kr,문화콘텐츠 분야 사업자(종업원수 2인이상),,http://www.busanit.or.kr/board/view.asp?bidx=17721&bcode=notice&ipage=1&sword=&search_txt=
모집중,XR 메타버스 활용 전문가 양성 교육과정 교육생 모집,2025-8-1~2025-8-28,"과기부, 정보통신산업진흥원, 부산정보산업진흥원 ",2025-8-1~2025-8-28,070-471-0991,swim118@samwooim.com,"언리얼엔진 교육 희망자(관련 전공자, 구직자, 재직자 등)",,http://www.busanit.or.kr/board/view.asp?bidx=17720&bcode=notice&ipage=1&sword=&search_txt=
모집중,웹소설 공모전 모집공고,2025-7-9~2025-10-31,부산콘텐츠코리아랩,2025-7-9~2025-10-31,051-749-9163,hoon927@busanit.or.kr,부산 거주 웹소설 작가(예비 창작자 포함),,http://www.busanit.or.kr/board/view.asp?bidx=17683&bcode=notice&ipage=2&sword=&search_txt=
모집중,「SaaS 전환을 위한 클라우드 마이그레이션」교육 참가자 모집,~2025-8-4,부산정보산업진흥원,2025-8-7~2025-8-29,051-749-9409,kkl0528@busanit.or.kr,기업재직자 및 관련학과 연구자,,http://www.busanit.or.kr/board/view.asp?bidx=17680&bcode=notice&ipage=2&sword=&search_txt=
모집중,2025 부산콘텐츠아카데미 언리얼 전환 교육생 모집 공고,~2025-7-31,부산정보산업진흥원,25. 7. ~ 11.,051-749-9154,organix@bipa.kr,부산 지역 내 게임분야 재직자 및 프리랜서,,http://www.busanit.or.kr/board/view.asp?bidx=17669&bcode=notice&ipage=2&sword=&search_txt=
모집중,2025 부산콘텐츠아카데미 포트폴리오 컨설팅 프로그램 모집 공고,2025-6-30~,부산정보산업진흥원,25. 7. ~ 11.,051-749-9140,jhj0813@busanit.or.kr,전국 게임분야 취업준비생,,http://www.busanit.or.kr/board/view.asp?bidx=17662&bcode=notice&ipage=2&sword=&search_txt=
모집중,2025 부산콘텐츠아카데미 퍼스널 트레이닝 교육생 모집 공고,~2025-7-31,부산정보산업진흥원,25. 7. ~ 11.,051-749-9140,jhj0813@busanit.or.kr,게임개발에 관심있는 예비창업자,,http://www.busanit.or.kr/board/view.asp?bidx=17658&bcode=notice&ipage=2&sword=&search_txt=
모집중,2025 콘텐츠기업 헬프데스크 사업 안내,2025-6-2~2025-11-30,부산콘텐츠기업지원센터,2025-6-2~2025-11-30,010-6461-7974,pivoting.zephyrus@gmail.com,부산소재 콘텐츠기업,,http://www.busanit.or.kr/board/view.asp?bidx=17585&bcode=notice&ipage=2&sword=&search_txt=
모집중,부산 클라우드 혁신센터(부산CIC) 멤버십 프로그램 참여기업 모집 공고,상시 ,부산 클라우드 혁신센터 ,상시,051-749-9376,kyj@busanit.or.kr,기창업자(기업),,http://www.busanit.or.kr/board/view.asp?bidx=17421&bcode=notice&ipage=2&sword=&search_txt=
모집중,부산 1인미디어 영상콘텐츠 공모전 개최,2025.4.29~2025-8-5,"부산광역시, 부산정보산업진흥원",2025.4.29~2025-8-5,051-749-9161,sonhe0627@busanit.or.kr,"부산 거주 대학생 또는 취업준비생, 부산시민 누구나 ",,http://www.busanit.or.kr/board/view.asp?bidx=17402&bcode=notice&ipage=2&sword=&search_txt=
모집중,「부산 디지털 혁신거점 조성 지원사업」2025 디지털 원스톱 지원사업 참여기업 모집 공고,공고게시일~2025-10-31(금) 18:00,부산정보산업진흥원 ,2025.3~11 ,051-749-9350,jg1106@busanit.or.kr,"부산지역 디지털 기업, 대학, 연구소 등 ",,http://www.busanit.or.kr/board/view.asp?bidx=17367&bcode=notice&ipage=2&sword=&search_txt=
모집중,2025 전환비타민 보증,2025-03-10 ~ 2025-12-27,부산신용보증재단,2025.3~12,051-860-6600,khj7519@busansinbo.or.kr,기창업자,,https://www.busanstartup.kr/biz_sup/1566?mcode=biz02
모집중,(모집)조달청 벤처나라 입점 추천 대상기업 모집,2025-02-13 ~ 2025-11-17,부산기술창업투자원,공고일~2025. 11.,051-715-1752,parksh@bsia.or.kr,기창업자,,https://busanstartup.kr/biz_sup/1537?mcode=biz02&pageNo=1&s_pa_code=252&deadline=N&deleteYn=N&s_orderby=regi&s_desc=desc
모집중,『글로벌 교류·투자유치 지원사업』자율형 프로그램 참가 기업 모집,상시,부산기술창업투자원,상시,051-715-1745 ,jeong@bsia.or.kr,기창업자,,https://busanstartup.kr/biz_sup/1612?mcode=biz02&pageNo=1&s_pa_code=252&deadline=N&deleteYn=N&s_orderby=regi&s_desc=desc
모집중,2025년 창업지원시설 창업공간100 코워킹스페이스 정기사용자 모집공고,2025-06-17 ~ 2025-07-31,부산기술창업투자원,2025-04-17 ~ 2025-12-31,051-959-2603,seoffron@bsia.or.kr,전체창업자,,https://busanstartup.kr/biz_sup/1619?mcode=biz02&pageNo=1&s_pa_code=252&deadline=N&deleteYn=N&s_orderby=regi&s_desc=desc
모집중,『글로벌 교류·투자유치 지원사업』K-스타트업 통합관 참가기업 모집 공고,2025-06-17 ~ 2025-07-31,부산기술창업투자원,2025. 10~11월 중 ,051-715-1745,hwl2@bsia.or.kr,모집 공고일 기준‘사업을 개시한 날’로부터 10년이 지나지 않는 기업 중 소재지가 부산광역시 내인 기업,,https://busanstartup.kr/biz_sup/1712?mcode=biz02&pageNo=1&s_pa_code=252&deadline=N&deleteYn=N&s_orderby=regi&s_desc=desc
모집중,『제 11회 부산 창업 아이디어 경진대회』,2025-06-30 ~ 2025-07-24,부산기술창업투자원,2025. 9. ,051-715-1754,yhkim@bsia.or.kr,전국 고등학생 및 대학(원)생,,https://busanstartup.kr/biz_sup/1726?mcode=biz02&pageNo=1&s_pa_code=252&deadline=N&deleteYn=N&s_orderby=regi&s_desc=desc
모집중,2025년 B-Startup 온라인IR 참가기업 모집 공고,2025. 07. 15.(화) ~ 상시 ※ 15개사 선착순 신청시 모집종료,부산기술창업투자원,2025. 7. ~ 11., 051-715-1761 ,hjbae@bsia.or.kr,부산시 소재 또는 이전 예정기업 중 투자라운드 진행/준비 중인 기업,,https://busanstartup.kr/biz_sup/1741?mcode=biz02&pageNo=1&s_pa_code=252&deadline=N&deleteYn=N&s_orderby=regi&s_desc=desc
모집중,창업공간100 운영사업 입주기업 투자유치 IR역량 강화 프로그램 참여기업 모집 공고,2025-07-23 ~ 2025-08-05,부산기술창업투자원,2025-08-13~,051-715-1794,sjh@bsia.or.kr,예비창업자 및 입주기업 중 투자유치 원하는 기업 ,,https://busanstartup.kr/biz_sup/1746?mcode=biz02&pageNo=1&s_pa_code=252&deadline=N&deleteYn=N&s_orderby=regi&s_desc=desc
모집중,「아시아 창업 엑스포 FLY ASIA 2025」전시 참가 기업 모집공고,2025-07-07~ 2025-08-01,부산기술창업투자원,2025-09-22 ~ 2025-09-23,,flyasiabusan@gmial.com,체험형 디바이스 및 AI·딥테크 서비스를 보유한 스타트업과 중소기업,www.fly-asia.org,https://busanstartup.kr/biz_sup/1747?mcode=biz02&pageNo=1&s_pa_code=252&deadline=N&deleteYn=N&s_orderby=regi&s_desc=desc
모집중,[동래구] 청년성장 프로젝트 8월 참여자 모집 안내,2025-07-18 ~ 2025-08-29,동래구 청년어울림센터,2025-07-18 ~ 2025-08-29,051-997-5003,,"동래구 및 부산시 거주 미취업 청년(18세~39세/미혼, 기혼 청년 모두 가능)","상세정보[ 동래구 청년어울림센터 청년성장 프로젝트 8월 프로그램 참여 안내 ]안녕하십니까!!동래구 청년어울림센터입니다.미취업 청년들의 힘찬 성장을 위한 8월 프로그램을 준비하였습니다!!지난 7월보다 업그레이드 된 프로그램에 즐겁게 참여하시고 흥미로운 시간이 되셨으면 합니다.아래 청년성장프로젝트 8월 프로그램을 확인하시고많은 관심과 신청 바랍니다• 신청링크- 신규 참여자(클릭) :https://naver.me/G9rLc5pl- 기존 참여자(클릭) :https://naver.me/G7CoXXBO• 청년성장 프로젝트 네이버 블로그- 블로그 주소(클릭) :https://blog.naver.com/diec24• 청년성장 프로젝트 카카오톡 채널- 채널명 : 혁신어울림[ 8월 프로그램 안내 ]< 여름 공방 유니버스 : 여름을 부탁해! >- 날짜 : 2025년 8월 5일(화) ~ 8월 8일(금)*4일 참여 필수- 시간 : 13:00 ~ 17:00- 장소 : 동래구혁신어울림센터(동래구 청년어울림센터) 5층 프로그램실- 인원 : 20명(선착순 접수)- 주소 : 부산시 동래구 금강로 129​▶8/5 - 경력 재설계 특강▶8/6 - 라탄 피크닉 바구니 만들기▶8/7 - 석고방향제 & 왁스타블렛 & 플라워 소이캔들 만들기▶8/8 - 텀블러 홀더 & 클로버 키링 만들기< 면접부터 데일리 헤어까지, 찰떡 헤메스킬! >- 날짜 : 2025년 8월 12일(화) ~ 8월 13일(수) *2일 참여 필수- 시간 : 13:00 ~ 18:00- 장소 : 동래구혁신어울림센터(동래구 청년어울림센터) 5층 프로그램실- 인원 : 20명(선착순 접수)- 주소 : 부산시 동래구 금강로 129▶8/12 - 면접 프리패스! 취뽀 메이크업 / 면접에 필요한 메이크업과 헤어 스타일링▶8/13 - 청담샵 데일리 메이크업 / 2025년 트렌드 분석을 통한 메이크업과 헤어 스타일링< 유튜브 쇼츠 하면해 알고리즘 가면가! >- 날짜 : 2025년 8월 19일(화) ~ 8월 22일(금)*4일 참여 필수- 시간 : 12:00 ~ 16:00- 장소 : 동래구혁신어울림센터(동래구 청년어울림센터) 5층 프로그램실- 인원 : 20명(선착순 접수)- 주소 : 부산시 동래구 금강로 129▶8/19~22 - 유튜브 알고리즘의 이해 및 채널 개설, 조회수를 올리는 쇼츠 제작 방법​< 보컬의 모든 것 : 기초부터 레코딩까지 >- 날짜 : 2025년 8월 23일(토), 8월 30일(토)*2일 참여 필수- 시간 : 13:00 ~ 18:00- 장소 : 파라도어 스튜디오- 인원 : 20명(선착순 접수)- 주소 : 부산시 동래구 충렬대로 134-1 7층▶8/23 - 보컬 기초 발성 배우기 및 레코딩 곡 선정▶8/30 - 레코딩 곡 피드백 및 그룹별 레코딩 진행<영화의 전당, 청춘 시네로드! >- 날짜 : 2025년 8월 25일(월) ~ 8월 28일(목)*4일 참여 필수- 시간 :*날짜별 상이합니다. 꼭 확인해주세요!!8/25(월) 9 ~15시8/26(화) 9~15시8/27(수) 11~17시8/28(목) 13~18시- 장소 : 동래구혁신어울림센터(동래구 청년어울림센터) 5층 프로그램실- 인원 : 20명(선착순 접수)- 주소 : 부산시 동래구 금강로 129​▶8/25 - 영화 읽기 및 영화 직무 특강, 영화의전당 시설투어 영화 라이브러리 체험▶8/26 - 영화 제작 수업, 영화 관람▶8/27 - 하늘연극장 '마티네' (영화음악감상), 영화진흥위원회 견학, 영상물등급위원회 (영상물 등급 분류 체험)▶8/28 - 다큐멘터리 영화 감독과의 만남 특강 (김지곤 감독)< 나 사용 설명서 : 내 강점 찾고 JOB 레벨업 >- 날짜 : 2025년 8월 27일(수) ~ 8월 30일(토)*4일 참여 필수- 시간 : 13:00 ~ 18:00- 장소 : 동래구혁신어울림센터(동래구 청년어울림센터) 5층 프로그램실- 인원 : 20명(선착순 접수)- 주소 : 부산시 동래구 금강로 129▶8/27 - 교류 분석 검사 및 자기 분석, 소통 전략▶8/28 - disc 검사 및 결과 자기 분석, 직업 연결▶8/29 - 버크만 검사 및 자기 분석, 강점 파악 및 스트레스 관리▶8/30 - 통합적 자기 인식 및 직업 세계와 연결",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001988
모집중,[동래구] '나만의 캐릭터로 특별한 굿즈 만들기' 프로그램 참여 안내,2025-07-17 ~ 2025-08-01,동래구 청년어울림센터,2025-08-05 ~ 2025-08-08,051-997-5003,,동래구 및 부산시 거주 청년,"상세정보안녕하세요.동래구 청년어울림센터입니다. 😊나만의 개성을 담은 특별한 굿즈,직접 만들어 볼까요?✨평소 머릿속에만 있던 나만의 캐릭터를 세상에 하나뿐인 굿즈로 탄생시키고 싶으셨나요? 🎨이 프로그램은 바로 그런 여러분을 위한 특별한 기회가 될 거예요. 💖청년 여러분들의 많은 관심과 참여 부탁드립니다. 💖🎨주요 내용1. 다양한 굿즈 제작 노하우:티셔츠,모자 등 소량 제작이 가능한 다양한 굿즈 종류와 각 아이템별 제작 과정을 상세히 안내해 드려요. 👕🧢2. 나만의 캐릭터로 머그컵 굿즈 만들기:직접 디자인한 캐릭터로 세상에 하나뿐인 머그컵을 만들어보는 특별한 시간을 가집니다!☕3. 굿즈 판매 및 홍보 전략:힘들게 만든 굿즈를 어떻게 세상에 알리고 판매할 수 있을까요?4. 플리마켓,펀딩 사이트 등 다양한 판매 채널과 홍보 전략에 대한 실질적인 팁을 공유해 드립니다. 🛍📝프로그램 상세 안내- 일정: 2025년8월5일(화), 6일(수), 8일(금), 14:00 ~ 16:00 (3회기 필수 참여!!)(*굿즈 제작은3회기 모두 참여 완료하신 분들께 제공됩니다.)- 장소:동래구혁신어울림센터5층 프로그램실🏢- 대상:동래구 및 부산시 거주 청년(*3회기 동안 꾸준히 참여할 청년) 🙋‍♀🙋‍♂- 인원: 10명(선착순 접수) 🏃‍♀🏃‍♂- 준비물: *개인 아이패드 필참📱- 신청 기간: 2025년7월17일(목) 10:00 ~ 8월1일(금) 18:00- 신청방법:동래구 청년어울림센터 홈페이지를 통해 신청(*클릭->www.동래구청년어울림센터.kr)📞문의: 051-997-5003",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001987
모집중,[서구] 2025년 청년 자격증 시험 응시료 지원 사업,2025-08-01 ~ 2025-12-15,부산광역시 서구,2025-08-01 ~ 2025-12-15,051-240-4791~2,,19세~34세 미취업 청년,"상세정보❤️부산 서구 청년 자격증시험 응시료 지원 실시❤️※접수기간:2025. 8. 1. ~ 12. 15.😊지원대상↓↓↓아래 요건을 모두 충족하는 자↓↓↓1.출생연도 기준19~34세 청년(1991년~2006년 생)2.신청일 기준 서구에 1년 이상 거주(주민등록)중인 자3.신청일 현재 미취업자 및 사업자 등록사실이 없는 자(공공근로 등 정부일자리 참여자는 지원 가능)💥2025년에 한해 시험응시일 기준 미취업자도 지원4.2025. 1. 1. ~ 12. 15.실시한 시험에 실제로 응시한 자(합격 여부 무관)😊지원내용1인 연1회 최대 20만원응시료 지원(어학능력시험,국가자격시험,한국사능력검정시험)💥시험 종류는 서구청 홈페이지'고시공고'란 참조 또는 붙임파일 참조😊신청 방법:서구 홈페이지 온라인 신청 바로가기↓↓↓청년 자격증시험 응시료 지원 사업>취업정보>분야별정보문의:서구청 일자리경제과 청년정책계📞051-240-4791~2#자격증응시료지원#부산서구#서구청년#응시료지원#고용촉진#서구청일자리경제과",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001986
모집중,[해운대구] 동네_소통(청년을위한재테크) 프로그램 참여자 모집,2025-07-18 ~ 2025-07-24,해운대 청년채움공간,2025-07-25 ~ 2025-07-25,051-647-0917,,부산시 청년 누구나,"상세정보✧･ﾟ:소통 프로그램(청년을위한재테크)입니다. :･ﾟ✧-일자: 2025년7월25일(금)-시간:오후7시~오후9시-장소:해운대 청년채움공간A동 강의실(해운대구 센텀동로200)-내용:생활 속 분쟁 대처 방법(금전거래,근무 현장 사례,디지털 범죄,상속 등)-수강료:무료-문의처: 051-647-0917(청년채움공간 운영사무국)-참여신청은 반드시 네이버폼으로 신청 부탁드립니다.참여신청링크<- 신청은 여기 클릭!",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001985
모집중,해운대 청년 N잡 프로젝트 START!,2025-07-18 ~ 2025-08-01,해운대 청년JOB카페(드림포트),2025-08-01 ~ 2025-08-01,051-321-3307,,만 15 ~ 만 39세 청년,"상세정보[해운대 청년JOB카페 드림포트 프로그램 안내]■ 프로그램 : 해운대 청년 N잡 프로젝트 START!■ 교육내용1. 전업이 어려운 시대 : 청년 New N잡- 청년 New N잡의 개념(The sustainable N Jobs)- 국내 외 청년 N잡러 사례 소개2. 다양한 직업의 가능성- 세상의 신기한 직업들- AI가 나의 일에 미칠 영향과 AI기반 직업- 아날로그 일에서 찾는 가능성3. 자기이해 : 재능 흥미 적성 파악- SWOT / MBTI 검사- ON vs OFF / 대도시 vs 촌 / 사무직 vs 생산직 등 적성 파악4. 나의 N잡을 찾아서- AI를 활용한 나만의 N잡 캔버스 그리기- N잡 검색 및 1:1 멘토링🚶‍♂️‍➡️청년의 일 이제는 여러 개를 고민 할 때,변화하는 시대, AI와 함께 새로운 직업 가능성을 그려보세요.국내외 N잡러의 생생한 사례부터AI 기반 직업 탐색, 자기이해, 나만의 N잡 캔버스 만들기까지.진짜 나에게 맞는 일과 삶을 찾아가는 여정이 시작됩니다.■ 일시 : 25.8.1. (금) 13:30 ~ 17:30 (4시간)■ 장소 : 해운대청년job카페 드림포트 (부산 해운대구 반여로 120)■ 대상 : 15~39세 취업을 준비하는 모든 청년■ 비용 : 무료☞교육 신청 링크 클릭☜※ 교육 신청 시 자동 확정되며, 변경 사항이 있을 경우 별도로 안내드립니다.※주차장이 제공되지 않습니다. 대중교통을 이용해주시기 바랍니다☎ 문의 : 051-321-3331 / 051-327-3343",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001984
모집중,리터러시 맛보기 PART 2,2025-07-18 ~ 2025-07-29,해운대 청년JOB카페(드림포트),2025-07-29 ~ 2025-07-29,051-321-3307,,만 15 ~ 만 39세 청년,"상세정보[해운대 청년JOB카페 드림포트 프로그램 안내]■ 프로그램 : AI 리터러시 맛보기 Part 2■ 교육내용1. 디지털 전환 시대의 이해와 준비- 스마트폰이 사라진다 : 디지털 시대와 AI시대- 디지털 역량 진단2. 생성형 AI 이해 및 기본 활용 역량 개발- 생성형 AI 기본 앱 활용 : AI 활용 기본 역량 개발3. 일상과 업무에 유용한 AI앱 실습- 컴퓨터 전용 알쓸앱 활용 실습 (Gamma, HeyGen 등)- 이미지/영상 편집 앱 실습 (MS Desiganer, Capcut, Vrew, VideoStew 등)🖥️ 디지털 전환 시대의 생존 역량, AI 리터러시생성형 AI의 구조와 활용 원리를 이해하고일상과 업무에 바로 적용 가능한 실무 중심 앱을 실습합니다.기초부터 실습까지, 데이터 시대의 기본기를 다지는 입문 교육!■ 일시 : 25.7.29. (화) 13:30 ~ 17:30 (4시간)■ 장소 : 해운대청년job카페 드림포트 (부산 해운대구 반여로 120)■ 대상 : 15~39세 취업을 준비하는 모든 청년■ 비용 : 무료☞교육 신청 링크 클릭☜※ 교육 신청 시 자동 확정되며, 변경 사항이 있을 경우 별도로 안내드립니다.※주차장이 제공되지 않습니다. 대중교통을 이용해주시기 바랍니다☎ 문의 : 051-321-3331 / 051-327-3343",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001983
모집중,리터러시 맛보기 PART 1,2025-07-18 ~ 2025-07-28,해운대 청년JOB카페(드림포트),2025-07-28 ~ 2025-07-28,051-321-3307,,만 15 ~ 만 39세 청년,"상세정보[해운대 청년JOB카페 드림포트 프로그램 안내]■ 프로그램 : AI 리터러시 맛보기 Part 1■ 교육내용1. 디지털 전환 시대의 이해와 준비- 스마트폰이 사라진다 : 디지털 시대와 AI시대- 디지털 역량 진단2. 생성형 AI 이해 및 기본 활용 역량 개발- 생성형 AI 기본 앱 활용 : AI 활용 기본 역량 개발- Chat GPT, Gemini 기능 실습3. 일상과 업무에 유용한 AI앱 실습- 모바일용 알쓸앱 활용 실습 (Suno, 클로바노트, Lilly, ChatPDF 등)🖥️ 디지털 전환 시대의 생존 역량, AI 리터러시생성형 AI의 구조와 활용 원리를 이해하고일상과 업무에 바로 적용 가능한 실무 중심 앱을 실습합니다.기초부터 실습까지, 데이터 시대의 기본기를 다지는 입문 교육!■ 일시 : 25.7.28. (월) 13:30 ~ 17:30 (4시간)■ 장소 : 해운대청년job카페 드림포트 (부산 해운대구 반여로 120)■ 대상 : 15~39세 취업을 준비하는 모든 청년■ 비용 : 무료☞교육 신청 링크 클릭☜※ 교육 신청 시 자동 확정되며, 변경 사항이 있을 경우 별도로 안내드립니다.※주차장이 제공되지 않습니다. 대중교통을 이용해주시기 바랍니다☎ 문의 : 051-321-3331 / 051-327-3343",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001982
모집중,"손목 위 작은 우주, 힐링스톤팔찌 만들기",2025-07-18 ~ 2025-07-30,해운대 청년JOB카페(드림포트),2025-07-30 ~ 2025-07-30,051-321-3307,,만 15 ~ 만 39세 청년,"상세정보[해운대 청년JOB카페 드림포트 프로그램 안내]■ 프로그램 : 손목 위 작은 우주, 힐링스톤 팔찌 만들기■ 교육내용1. Meet My Stone- '오늘 내 기분' 돌 찾기- 힐링스톤 기초(색-주파수-미네랄) 알아보기 & 손바닥 체험- 눈을 감고 1분 심호흡 후 첫 시선이 끌리는 스톤 3개2. Craft My Bracelet- 의도 의도→색→촉감 3 Step 스톤 선택- 탄성줄에 스톤 비딩 & 팔찌 매듭 마감 실습3. Embrace My Energy- 팔찌 터치 호흡 명상 & 바디스캔- 컬러·감정 매칭 마음챙김 저널 작성- 21-Day 팔찌 활용 플랜 & 공유 서클💎 당신의 감정에 귀 기울이고, 손끝으로 나를 표현하는 시간색, 파동, 촉감으로 만나는 나만의 힐링스톤.의도에 맞는 스톤을 고르고 마음을 담아 팔찌를 만듭니다.명상과 함께 에너지를 정돈하고 작은 변화를 시작하세요.참여비, 재료비 전액 무료 지원됩니다!■ 일시 : 25.7.30. (수) 13:00 ~ 17:00 (4시간)■ 장소 : 해운대청년job카페 드림포트 (부산 해운대구 반여로 120)■ 대상 : 15~39세 취업을 준비하는 모든 청년■ 비용 : 무료☞교육 신청 링크 클릭☜※ 교육 신청 시 자동 확정되며, 변경 사항이 있을 경우 별도로 안내드립니다.※주차장이 제공되지 않습니다. 대중교통을 이용해주시기 바랍니다☎ 문의 : 051-321-3331 / 051-327-3343",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001981
모집중,일잘러가 사용하는 AI apps,2025-07-18 ~ 2025-08-02,해운대 청년JOB카페(드림포트),2025-08-02 ~ 2025-08-02,051-321-3307,,만 15 ~ 만 39세 청년,"상세정보[해운대 청년JOB카페 드림포트 프로그램 안내]■ 프로그램 : 일잘러가 사용하는 AI apps■ 교육내용1. 우리는, 왜 여기에?- 일잘러의 무기 : 디지털 시대와 AI 시대- 디지털 역량 진단- 기획 AI : ChatGPT, Gemini 실습2. 슬라이드에서 영상까지 !- PPT 제작 Gamma- 동영상 변환 및 제작 HeyGen 등3. 스마트 요약 완성 !- 클로바노트- 영상요약 Lilly- PDF 요약 ChatPDF 등4. 디자인부터 영상까지 !- Design AI: MS designer- 콘텐츠제작 AI: VideoStew 등🔍 일자러가 사용하는 분야별 앱을 활용하여 일잘러 역량 UP!✔️ 자소서에 쓸 차별화된 경험이 부족하다고 느끼는 분✔️ 실무에 바로 쓸 수 있는 스킬을 미리 준비하고 싶은 취업 준비생✔️ ‘요즘 기업은 AI도 잘 써야 한다던데...’ 감만 잡고 있는 청년분야별 AI 앱을 활용해 업무 역량을 높이고, 실무형 인재로 거듭나는 시간을 만들어 드립니다.일잘러가 되고 싶은 청년이라면 지금 바로 신청하세요!■ 일시 : 25.8.2. (토) 09:30 ~ 13:30 (4시간)■ 장소 : 해운대청년채움공간 A동 (부산광역시 해운대구 센텀동로 200)■ 대상 : 15~39세 취업을 준비하는 모든 청년■ 비용 : 무료☞교육 신청 링크 클릭☜※ 교육 신청 시 자동 확정되며, 변경 사항이 있을 경우 별도로 안내드립니다.※ 주차장이 제공되지 않습니다. 대중교통을 이용해주시기 바랍니다.☎ 문의 : 051-321-3331 / 051-327-3343",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001980
